0000,64,1801.73,0.05,3.889,0.002
1000,64,4541.98,0.39,2.057,0.002
2000,64,4326.32,0.44,1.833,0.002
3000,64,4458.17,0.50,1.675,0.002
4000,64,4643.17,0.50,1.635,0.002
5000,64,4849.78,0.54,1.560,0.00192
6000,64,4401.52,0.54,1.494,0.00192
7000,64,4511.52,0.52,1.597,0.00192
8000,64,4822.34,0.56,1.483,0.00192
9000,64,4631.63,0.56,1.480,0.00192
10000,64,4602.72,0.54,1.480,0.0018432
11000,64,4645.10,0.54,1.487,0.0018432
12000,64,4532.85,0.56,1.464,0.0018432
13000,64,4615.47,0.56,1.420,0.0018432
14000,64,4580.73,0.53,1.505,0.0018432
15000,64,4622.22,0.58,1.405,0.0017694719999999998
16000,64,4459.65,0.55,1.445,0.0017694719999999998
17000,64,4632.43,0.55,1.503,0.0017694719999999998
18000,64,4284.21,0.57,1.413,0.0017694719999999998
19000,64,4481.39,0.57,1.396,0.0017694719999999998
20000,64,4596.89,0.57,1.358,0.0016986931199999998
21000,64,4585.11,0.57,1.391,0.0016986931199999998
22000,64,4796.92,0.57,1.395,0.0016986931199999998
23000,64,4743.43,0.58,1.416,0.0016986931199999998
24000,64,4463.58,0.57,1.372,0.0016986931199999998
25000,64,4531.55,0.58,1.405,0.0016307453951999997
26000,64,4936.02,0.56,1.486,0.0016307453951999997
27000,64,4360.76,0.56,1.451,0.0016307453951999997
28000,64,4532.93,0.57,1.433,0.0016307453951999997
29000,64,5001.13,0.57,1.422,0.0016307453951999997
30000,64,4476.91,0.54,1.516,0.0015655155793919998
31000,64,4613.16,0.56,1.401,0.0015655155793919998
32000,64,4602.01,0.57,1.433,0.0015655155793919998
33000,64,4877.72,0.57,1.385,0.0015655155793919998
34000,64,4062.28,0.56,1.380,0.0015655155793919998
35000,64,4509.40,0.58,1.360,0.0015028949562163197
36000,64,4504.25,0.59,1.337,0.0015028949562163197
37000,64,4590.60,0.58,1.421,0.0015028949562163197
38000,64,4501.08,0.57,1.431,0.0015028949562163197
39000,64,4621.03,0.58,1.350,0.0015028949562163197
40000,64,4282.97,0.55,1.410,0.0014427791579676669
41000,64,4544.82,0.58,1.365,0.0014427791579676669
42000,64,4598.78,0.58,1.383,0.0014427791579676669
43000,64,4725.39,0.57,1.391,0.0014427791579676669
44000,64,4741.75,0.59,1.315,0.0014427791579676669
45000,64,4558.72,0.57,1.409,0.0013850679916489602
46000,64,4578.86,0.59,1.295,0.0013850679916489602
47000,64,4264.40,0.58,1.403,0.0013850679916489602
48000,64,4333.38,0.58,1.354,0.0013850679916489602
49000,64,4276.90,0.57,1.372,0.0013850679916489602
50000,64,4844.01,0.57,1.394,0.0013296652719830015
51000,64,4574.64,0.57,1.398,0.0013296652719830015
52000,64,4651.13,0.56,1.449,0.0013296652719830015
53000,64,4492.27,0.61,1.254,0.0013296652719830015
54000,64,6359.37,0.58,1.353,0.0013296652719830015
55000,64,4769.13,0.56,1.393,0.0012764786611036815
56000,64,4740.92,0.55,1.418,0.0012764786611036815
57000,64,4841.56,0.58,1.348,0.0012764786611036815
58000,64,5242.78,0.59,1.378,0.0012764786611036815
59000,64,4535.30,0.59,1.350,0.0012764786611036815
60000,64,4316.17,0.58,1.332,0.0012254195146595341
61000,64,4499.27,0.58,1.373,0.0012254195146595341
